Reference, Value, Footprint, Datasheet
P27,NC,Pin_Headers:Pin_Header_Straight_1x01,
U5,L6201PS,hexabot:powerso-20,
C16,100n,Resistors_SMD:R_0805,
C17,15n,Resistors_SMD:R_0805,
C19,15n,Resistors_SMD:R_0805,
R31,0R1 3W,Resistors_SMD:R_1206,
C18,22n,Resistors_SMD:R_0805,
R29,10R,Resistors_SMD:R_0805,
D11,D,Diodes_SMD:SOD-123,
D12,D,Diodes_SMD:SOD-123,
C20,220n,Resistors_SMD:R_0805,
R30,10k,Resistors_SMD:R_0805,
U6,L6201PS,hexabot:powerso-20,
C21,100n,Resistors_SMD:R_0805,
C22,15n,Resistors_SMD:R_0805,
C24,15n,Resistors_SMD:R_0805,
R34,0R1 3W,Resistors_SMD:R_1206,
C23,22n,Resistors_SMD:R_0805,
R32,10R,Resistors_SMD:R_0805,
D13,D,Diodes_SMD:SOD-123,
D14,D,Diodes_SMD:SOD-123,
C25,220n,Resistors_SMD:R_0805,
R33,10k,Resistors_SMD:R_0805,
